doi,pmid,pmcid,year,authors,title,journal,sources,scopus_eid,wos_ut,embase_pui,openalex_id,filename
10.1093/infdis/jiw529,28375520,,2017,Murray,Global Gene Expression Profile of Acinetobacter baumannii During Bacteremia.,The Journal of infectious diseases,OpenAlex; PubMed,,,,https://openalex.org/W2604070580,Murray_2017
10.1099/mgen.0.000052,28348844,PMC5320584,2016,Holt,"Five decades of genome evolution in the globally distributed, extensively antibiotic-resistant Acinetobacter baumannii global clone 1.",Microbial genomics,OpenAlex; PubMed,,,,https://openalex.org/W2286620397,Holt_2016
10.1371/journal.pone.0174454,28328989,PMC5362224,2017,López,Quorum sensing network in clinical strains of A. baumannii: AidA is a new quorum quenching enzyme.,PloS one,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2603561245,Lpez_2017_2
10.1007/s12223-017-0507-x,28238067,,2017,Savari,Acquisition of Tn6018-3' CS regions increases colistin MICs against Acinetobacter baumannii isolates harboring new variants of AbaRs.,Folia microbiologica,OpenAlex; PubMed,,,,https://openalex.org/W4240228631,Savari_2017
10.2174/1568026617666170105144104,28056745,,2017,Castillo-Juarez,Exploiting Quorum Sensing Inhibition for the Control of Pseudomonas Aeruginosa and Acinetobacter Baumannii Biofilms.,Current topics in medicinal chemistry,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2572658926,CastilloJuarez_2017
10.3390/genes8010012,28036056,PMC5295007,2016,Kröger,Genetic Regulation of Virulence and Antibiotic Resistance in Acinetobacter baumannii.,Genes,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2567505623,Krger_2016
10.1080/08927014.2016.1253684,27882771,,2016,Yaniv,Functional marine metagenomic screening for anti-quorum sensing and anti-biofilm activity.,Biofouling,OpenAlex; PubMed,,,,https://openalex.org/W2555695174,Yaniv_2016
10.1007/5584_2016_93,27864804,PMC5438303,2017,Cardile,Activity of Norspermidine on Bacterial Biofilms of Multidrug-Resistant Clinical Isolates Associated with Persistent Extremity Wound Infections.,Advances in experimental medicine and biology,OpenAlex; PubMed,,,,https://openalex.org/W2552979785,Cardile_2017
10.1016/j.ijantimicag.2016.09.024,27842758,,2016,Choi,Characterisation of successive Acinetobacter baumannii isolates from a deceased haemophagocytic lymphohistiocytosis patient.,International journal of antimicrobial agents,OpenAlex; PubMed,,,,https://openalex.org/W2556585752,Choi_2016
10.4103/0971-5916.193295,27834332,PMC5116906,2016,Gala,Attenuation of quorum sensing-regulated behaviour by Tinospora cordifolia extract & identification of its active constituents.,The Indian journal of medical research,OpenAlex; PubMed,,,,https://openalex.org/W2547269539,Gala_2016
10.1080/08927014.2016.1221946,27643959,,2016,John,The quorum sensing molecule N-acyl homoserine lactone produced by Acinetobacter baumannii displays antibacterial and anticancer properties.,Biofouling,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2522417340,John_2016
10.1371/journal.pone.0162576,27622249,PMC5021322,2016,Selasi,"Differences in Biofilm Mass, Expression of Biofilm-Associated Genes, and Resistance to Desiccation between Epidemic and Sporadic Clones of Carbapenem-Resistant Acinetobacter baumannii Sequence Type 191.",PloS one,OpenAlex; PubMed,,,,https://openalex.org/W2520199825,Selasi_2016
10.1128/genomeA.00431-16,27563033,PMC5000817,2016,Buttimer,Genome Sequence of Jumbo Phage vB_AbaM_ME3 of Acinetobacter baumanni.,Genome announcements,PubMed,,,,,Buttimer_2016
10.1016/j.pdpdt.2016.07.007,27444886,,2016,Pourhajibagher,Modulation of virulence in Acinetobacter baumannii cells surviving photodynamic treatment with toluidine blue.,Photodiagnosis and photodynamic therapy,OpenAlex; PubMed,,,,https://openalex.org/W2489427773,Pourhajibagher_2016
,27307980,PMC4906721,2016,Modarresi,Cloning and expression of quorum sensing N-acyl-homoserine synthase (LuxI) gene detected in Acinetobacter baumannii.,Iranian journal of microbiology,OpenAlex; PubMed,,,,https://openalex.org/W2396089956,Modarresi_2016
10.1128/mSphere.00117-16,27303751,PMC4899885,2016,Blackwell,IncM Plasmid R1215 Is the Source of Chromosomally Located Regions Containing Multiple Antibiotic Resistance Genes in the Globally Disseminated Acinetobacter baumannii GC1 and GC2 Clones.,mSphere,OpenAlex; PubMed,,,,https://openalex.org/W2411066163,Blackwell_2016
10.1038/srep26930,27240484,PMC4886253,2016,Liu,Analysis of tigecycline resistance development in clinical Acinetobacter baumannii isolates through a combined genomic and transcriptomic approach.,Scientific reports,PubMed,,,,,Liu_2016
10.12659/msm.898959,27234982,PMC4913728,2016,Liu,Biofilm-Related Genes: Analyses in Multi-Antibiotic Resistant Acinetobacter Baumannii Isolates From Mainland China.,Medical science monitor : international medical journal of experimental and clinical research,OpenAlex; PubMed,,,,https://openalex.org/W2406594200,Liu_2016_2
10.1128/AAC.02180-15,27001817,PMC4879401,2016,Tan,Candida albicans Airway Colonization Facilitates Subsequent Acinetobacter baumannii Pneumonia in a Rat Model.,Antimicrobial agents and chemotherapy,OpenAlex; PubMed,,,,https://openalex.org/W2324408755,Tan_2016
10.1080/08927014.2015.1133810,26901586,,2016,Alves,"Study of the major essential oil compounds of Coriandrum sativum against Acinetobacter baumannii and the effect of linalool on adhesion, biofilms and quorum sensing.",Biofouling,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2302544703,Alves_2016
10.3791/53243,26779961,PMC4780937,2016,Tay,Anti-virulent Disruption of Pathogenic Biofilms using Engineered Quorum-quenching Lactonases.,Journal of visualized experiments : JoVE,OpenAlex; PubMed,,,,https://openalex.org/W2202924935,Tay_2016
10.1128/AAC.02662-15,26666934,PMC4775934,2015,Blackwell,"Evolution of AbGRI2-0, the Progenitor of the AbGRI2 Resistance Island in Global Clone 2 of Acinetobacter baumannii.",Antimicrobial agents and chemotherapy,OpenAlex; PubMed,,,,https://openalex.org/W2211906199,Blackwell_2015
10.2217/fmb.15.107,26582430,,2015,Bhargava,Attenuation of quorum sensing-mediated virulence of Acinetobacter baumannii by Glycyrrhiza glabra flavonoids.,Future microbiology,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2175937764,Bhargava_2015
10.1128/AAC.01540-15,26482299,PMC4704244,2015,Kostoulias,Impact of a Cross-Kingdom Signaling Molecule of Candida albicans on Acinetobacter baumannii Physiology.,Antimicrobial agents and chemotherapy,OpenAlex; PubMed,,,,https://openalex.org/W2105629382,Kostoulias_2015
10.1111/apm.12455,26350174,,2015,Modarresi,"Effect of iron on expression of efflux pump (adeABC) and quorum sensing (luxI, luxR) genes in clinical isolates of Acinetobacter baumannii.","APMIS : acta pathologica, microbiologica, et immunologica Scandinavica",Crossref; OpenAlex; PubMed,,,,https://openalex.org/W1841295863,Modarresi_2015
10.7860/JCDR/2015/13069.6084,26266122,PMC4525511,2015,Kandi,Biofilm Production Correlating with Multidrug Resistance Among Clinical Isolates of Acinetobacter baumannii.,Journal of clinical and diagnostic research : JCDR,Crossref; PubMed,,,,,Kandi_2015
10.1128/AAC.01175-15,26100696,PMC4538507,2015,Kim,AbaR-type genomic islands in non-baumannii Acinetobacter species isolates from South Korea.,Antimicrobial agents and chemotherapy,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2199172633,Kim_2015
10.1128/AAC.00877-15,26033730,PMC4505227,2015,He,Biofilm Formation Caused by Clinical Acinetobacter baumannii Isolates Is Associated with Overexpression of the AdeFGH Efflux Pump.,Antimicrobial agents and chemotherapy,OpenAlex; PubMed,,,,https://openalex.org/W1872531888,He_2015
10.1128/JB.00188-15,26013481,PMC4518826,2015,Tipton,Phase-Variable Control of Multiple Phenotypes in Acinetobacter baumannii Strain AB5075.,Journal of bacteriology,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W1872369673,Tipton_2015
10.1186/s12866-015-0397-5,25888221,PMC4381447,2015,Luo,Enhancing pili assembly and biofilm formation in Acinetobacter baumannii ATCC19606 using non-native acyl-homoserine lactones.,BMC microbiology,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2154510503,Luo_2015
10.1111/1348-0421.12252,25726848,,2015,Saranathan,Emergence of carbapenem non-susceptible multidrug resistant Acinetobacter baumannii strains of clonal complexes 103(B) and 92(B) harboring OXA-type carbapenemases and metallo-β-lactamases in Southern India.,Microbiology and immunology,OpenAlex; PubMed,,,,https://openalex.org/W1901196343,Saranathan_2015
10.1007/s00253-015-6439-y,25693672,,2015,Jung,Acinetobacter species as model microorganisms in environmental microbiology: current state and perspectives.,Applied microbiology and biotechnology,OpenAlex; PubMed,,,,https://openalex.org/W2075918297,Jung_2015
10.1080/21505594.2014.1003001,25622119,PMC4601488,2015,Modarresi,Iron limitation enhances acyl homoserine lactone (AHL) production and biofilm formation in clinical isolates of Acinetobacter baumannii.,Virulence,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W1580226439,Modarresi_2015_2
10.1186/1471-2164-15-1163,25534766,PMC4367897,2014,Liu,Comparative genomic analysis of Acinetobacter baumannii clinical isolates reveals extensive genomic variation and diverse antibiotic resistance determinants.,BMC genomics,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W1584241287,Liu_2014
10.1128/AAC.04609-14,25487793,PMC4335871,2014,Li,Evolution of carbapenem-resistant Acinetobacter baumannii revealed through whole-genome sequencing and comparative genomic analysis.,Antimicrobial agents and chemotherapy,OpenAlex; PubMed,,,,https://openalex.org/W1983172248,Li_2014
10.1186/1471-2164-15-815,25260865,PMC4192346,2014,Chang,Transcriptome profiling in imipenem-selected Acinetobacter baumannii.,BMC genomics,OpenAlex; PubMed,,,,https://openalex.org/W1996912351,Chang_2014
10.1093/gbe/evu176,25164683,PMC4202317,2014,Traglia,Whole-genome sequence analysis of the naturally competent Acinetobacter baumannii clinical isolate A118.,Genome biology and evolution,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2158310753,Traglia_2014
10.1371/journal.pone.0104853,25111143,PMC4128745,2014,Merabishvili,Characterization of newly isolated lytic bacteriophages active against Acinetobacter baumannii.,PloS one,PubMed,,,,,Merabishvili_2014
10.1155/2014/891041,25101326,PMC4101932,2014,Chan,Tandem mass spectrometry detection of quorum sensing activity in multidrug resistant clinical isolate Acinetobacter baumannii.,TheScientificWorldJournal,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2084249617,Chan_2014
10.1186/1471-2180-14-181,24996449,PMC4094691,2014,Peng,"Characterization, sequencing and comparative genomic analysis of vB_AbaM-IME-AB2, a novel lytic bacteriophage that infects multidrug-resistant Acinetobacter baumannii clinical isolates.",BMC microbiology,PubMed,,,,,Peng_2014
10.1107/S1399004714008311,24914982,PMC4051507,2014,Allen,Structural and bioinformatic characterization of an Acinetobacter baumannii type II carrier protein.,"Acta crystallographica. Section D, Biological crystallography",OpenAlex; PubMed,,,,https://openalex.org/W2061323132,Allen_2014
10.1128/IAI.01600-14,24891106,PMC4136213,2014,Bhargava,Pyocyanin stimulates quorum sensing-mediated tolerance to oxidative stress and increases persister cell populations in Acinetobacter baumannii.,Infection and immunity,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2022359730,Bhargava_2014
10.1128/AAC.02410-13,24379199,PMC3957888,2013,Chow,Disruption of biofilm formation by the human pathogen Acinetobacter baumannii using engineered quorum-quenching lactonases.,Antimicrobial agents and chemotherapy,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2100721395,Chow_2013
10.1371/journal.pone.0080140,24367477,PMC3868577,2013,Que,A quorum sensing small volatile molecule promotes antibiotic tolerance in bacteria.,PloS one,OpenAlex; PubMed,,,,https://openalex.org/W2138599020,Que_2013
10.1021/pr400603f,24299215,,2013,Gayoso,Molecular mechanisms involved in the response to desiccation stress and persistence in Acinetobacter baumannii.,Journal of proteome research,PubMed,,,,,Gayoso_2013
10.1093/jac/dkt454,24235096,PMC3956371,2013,Hamidian,A GC1 Acinetobacter baumannii isolate carrying AbaR3 and the aminoglycoside resistance transposon TnaphA6 in a conjugative plasmid.,The Journal of antimicrobial chemotherapy,OpenAlex; PubMed,,,,https://openalex.org/W2146549487,Hamidian_2013
10.1371/journal.pone.0072968,24023660,PMC3758355,2013,Rumbo-Feal,Whole transcriptome analysis of Acinetobacter baumannii assessed by RNA-sequencing reveals different mRNA expression profiles in biofilm compared to planktonic cells.,PloS one,PubMed,,,,,RumboFeal_2013
10.1128/JCM.01388-13,23985923,PMC3889758,2013,Vilacoba,Outbreak of extensively drug-resistant Acinetobacter baumannii indigo-pigmented strains.,Journal of clinical microbiology,OpenAlex; PubMed,,,,https://openalex.org/W2011816456,Vilacoba_2013
10.1128/AAC.00633-13,23939892,PMC3811275,2013,Kim,Spread of carbapenem-resistant Acinetobacter baumannii global clone 2 in Asia and AbaR-type resistance islands.,Antimicrobial agents and chemotherapy,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2088361440,Kim_2013
10.1371/annotation/8f2ddf91-3499-4627-9a91-449b78465f9d,23853689,PMC3634625,2013,Garner,Retraction: Stereochemical insignificance discovered in Acinetobacter baumannii quorum sensing.,PloS one,Crossref; PubMed,,,,,Garner_2013
10.1371/journal.pone.0066584,23826102,PMC3691203,2013,Zhu,Complete genome analysis of three Acinetobacter baumannii clinical isolates in China for insight into the diversification of drug resistance elements.,PloS one,OpenAlex; PubMed,,,,https://openalex.org/W2067470076,Zhu_2013
10.1080/08927014.2013.796939,23777289,,2013,Golberg,"Coral-associated bacteria, quorum sensing disrupters, and the regulation of biofouling.",Biofouling,OpenAlex; PubMed,,,,https://openalex.org/W1999046673,Golberg_2013
10.1007/s00284-013-0326-5,23397241,,2013,Ramírez,Spreading of AbaR-type genomic islands in multidrug resistance Acinetobacter baumannii strains belonging to different clonal complexes.,Current microbiology,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2008040754,Ramrez_2013
10.1128/AAC.02161-12,23318804,PMC3623334,2013,Saroj,Streptomycin inhibits quorum sensing in Acinetobacter baumannii.,Antimicrobial agents and chemotherapy,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2106369822,Saroj_2013
10.1039/c2ob27155a,23258305,PMC3566574,2012,Stacy,Synthesis and biological evaluation of triazole-containing N-acyl homoserine lactones as quorum sensing modulators.,Organic & biomolecular chemistry,OpenAlex; PubMed,,,,https://openalex.org/W2096653634,Stacy_2012
10.1093/jac/dks459,23169892,,2012,Nigro,"A novel family of genomic resistance islands, AbGRI2, contributing to aminoglycoside resistance in Acinetobacter baumannii isolates belonging to global clone 2.",The Journal of antimicrobial chemotherapy,OpenAlex; PubMed,,,,https://openalex.org/W2062320429,Nigro_2012
10.3343/alm.2012.32.5.324,22950067,PMC3427819,2012,Sung,"AbaR7, a genomic resistance island found in multidrug-resistant Acinetobacter baumannii isolates in Daejeon, Korea.",Annals of laboratory medicine,OpenAlex; PubMed,,,,https://openalex.org/W2128190688,Sung_2012
10.1080/08927014.2012.714372,22867087,,2012,Bhargava,N-acyl homoserine lactone mediated interspecies interactions between A. baumannii and P. aeruginosa.,Biofouling,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W1978430896,Bhargava_2012
10.1021/cb300351x,22853441,PMC3477293,2012,Stacy,Attenuation of quorum sensing in the pathogen Acinetobacter baumannii using non-native N-Acyl homoserine lactones.,ACS chemical biology,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W1990118809,Stacy_2012_2
10.2436/20.1501.01.161,22847269,,2012,Bitrian,Identification of virulence markers in clinically relevant strains of Acinetobacter genospecies.,International microbiology : the official journal of the Spanish Society for Microbiology,OpenAlex; PubMed,,,,https://openalex.org/W1619413997,Bitrian_2012
10.1007/s12275-012-1555-1,22752907,,2012,McQueary,Extracellular stress and lipopolysaccharide modulate Acinetobacter baumannii surface-associated motility.,"Journal of microbiology (Seoul, Korea)",OpenAlex; PubMed,,,,https://openalex.org/W1965528325,McQueary_2012
10.1099/jmm.0.038968-0,22723256,,2012,Arduino,Transposons and integrons in colistin-resistant clones of Klebsiella pneumoniae and Acinetobacter baumannii with epidemic or sporadic behaviour.,Journal of medical microbiology,OpenAlex; PubMed,,,,https://openalex.org/W2142691102,Arduino_2012
10.1128/AAC.00880-12,22668861,PMC3421569,2012,Kim,Variations of AbaR4-type resistance islands in Acinetobacter baumannii isolates from South Korea.,Antimicrobial agents and chemotherapy,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2055783013,Kim_2012
10.1371/journal.pone.0037102,22629354,PMC3358330,2012,Garner,Stereochemical insignificance discovered in Acinetobacter baumannii quorum sensing.,PloS one,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2038591616,Garner_2012
10.1128/AAC.05678-11,22290980,PMC3318354,2012,Seputiene,Novel variants of AbaR resistance islands with a common backbone in Acinetobacter baumannii isolates of European clone II.,Antimicrobial agents and chemotherapy,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2091272695,Seputiene_2012
10.1093/jac/dkr413,21965430,,2011,Bonnin,AbaR-type transposon structures in Acinetobacter baumannii.,The Journal of antimicrobial chemotherapy,Crossref; PubMed,,,,,Bonnin_2011
10.1093/jac/dkr356,21873287,,2011,Hamidian,AbaR4 replaces AbaR3 in a carbapenem-resistant Acinetobacter baumannii isolate belonging to global clone 1 from an Australian hospital.,The Journal of antimicrobial chemotherapy,OpenAlex; PubMed,,,,https://openalex.org/W2165485591,Hamidian_2011
10.1128/AAC.01134-10,21788470,PMC3187012,2011,Zhou,Genomic analysis of the multidrug-resistant Acinetobacter baumannii strain MDR-ZJ06 widely spread in China.,Antimicrobial agents and chemotherapy,OpenAlex; PubMed,,,,https://openalex.org/W2030323881,Zhou_2011
10.1099/mic.0.049791-0,21700662,PMC3352170,2011,Clemmer,Genetic analysis of surface motility in Acinetobacter baumannii.,"Microbiology (Reading, England)",Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2101603685,Clemmer_2011
10.1128/AAC.00221-11,21537009,PMC3122396,2011,Krizova,Diversity and evolution of AbaR genomic resistance islands in Acinetobacter baumannii strains of European clone I.,Antimicrobial agents and chemotherapy,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2097902024,Krizova_2011
10.1007/s12275-011-0315-y,21369976,,2011,Kang,Acinetobacter oleivorans sp. nov. is capable of adhering to and growing on diesel-oil.,"Journal of microbiology (Seoul, Korea)",OpenAlex; PubMed,,,,https://openalex.org/W2021055185,Kang_2011
10.1128/JCM.02335-10,21289143,PMC3122835,2011,Turton,Use of the accessory genome for characterization and typing of Acinetobacter baumannii.,Journal of clinical microbiology,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2135600463,Turton_2011
10.1128/AAC.01595-10,21282446,PMC3067174,2011,Ramirez,Genomic analysis of Acinetobacter baumannii A118 by comparison of optical maps: identification of structures related to its susceptibility phenotype.,Antimicrobial agents and chemotherapy,OpenAlex; PubMed,,,,https://openalex.org/W2088297807,Ramirez_2011
10.3109/1040841X.2010.512269,20846031,,2010,Bhargava,Quorum sensing in Acinetobacter: an emerging pathogen.,Critical reviews in microbiology,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2014526984,Bhargava_2010
10.1093/jac/dkq095,20375036,,2010,Post,Evolution of AbaR-type genomic resistance islands in multiply antibiotic-resistant Acinetobacter baumannii.,The Journal of antimicrobial chemotherapy,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2110192431,Post_2010
,19623895,,2009,González,Quorum sensing signal profile of Acinetobacter strains from nosocomial and environmental sources.,Revista Argentina de microbiologia,OpenAlex; PubMed,,,,https://openalex.org/W1538360432,Gonzlez_2009
10.1128/AAC.01533-08,19332683,PMC2687231,2009,Peleg,Galleria mellonella as a model system to study Acinetobacter baumannii pathogenesis and therapeutics.,Antimicrobial agents and chemotherapy,OpenAlex; PubMed,,,,https://openalex.org/W2108773674,Peleg_2009
10.1073/pnas.0805048105,18794525,PMC2567192,2008,Peleg,Prokaryote-eukaryote interactions identified by using Caenorhabditis elegans.,Proceedings of the National Academy of Sciences of the United States of America,OpenAlex; PubMed,,,,https://openalex.org/W2096181481,Peleg_2008
10.1371/journal.pone.0001805,18350144,PMC2265553,2008,Vallenet,Comparative analysis of Acinetobacters: three genomes for three lifestyles.,PloS one,OpenAlex; PubMed,,,,https://openalex.org/W1983888098,Vallenet_2008
10.1128/JB.01929-07,18281398,PMC2347373,2008,Niu,Isolation and characterization of an autoinducer synthase from Acinetobacter baumannii.,Journal of bacteriology,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W2034825150,Niu_2008
10.1016/j.micres.2005.03.005,16255145,,2005,Boşgelmez-Tinaz,N-butanoyl-L-homoserine lactone (BHL) deficient Pseudomonas aeruginosa isolates from an intensive care unit.,Microbiological research,OpenAlex; PubMed,,,,https://openalex.org/W1976859371,BogelmezTinaz_2005
10.1016/j.genrep.2021.101232,,,2021,Fariba Naeimi Mazraeh,High frequency of blaPER-1 gene in clinical strains of Acinetobacter baumannii and its association with quorum sensing and virulence factors,Gene Reports,Crossref; OpenAlex,,,,https://openalex.org/W3171407710,
,,,2013,Viraj Gala,EVALUATION OF THE POTENTIAL OF FIVE MEDICINAL PLANTS TO INHIBIT ACYL HOMOSERINE LACTONE BASED QUORUM SENSING IN PSEUDOMONAS AERUGINOSA AND ACINETOBACTER BAUMANNII,International Journal of Pharma and Bio Sciences,OpenAlex,,,,https://openalex.org/W2490893106,
,,,2019,S. Karthick Raja Namasivayam,In silico and in vitro analysis of quorum quenching active phytochemicals from the ethanolic extract of medicinal plants against quorum sensing mediated virulence factors of Acinetobacter baumannii,,OpenAlex,,,,https://openalex.org/W2976140321,
10.1016/j.jksus.2023.102714,,,2023,Jwan Khidhr Rahman,"Assessment of toxicity, anti-quorum sensing and anti-biofilm production effects of Hypericum triquetrifolium Turra extract on multi-drug resistant Acinetobacter baumannii",Journal of King Saud University - Science,Crossref; OpenAlex,,,,https://openalex.org/W4377044132,
10.54319/jjbs/170210,,,2024,,"Investigation of Quorum Sensing, Biofilm Production, and Detection of Virulence-associated Genes Among Clinical Isolates of Acinetobacter baumannii",Jordan Journal of Biological Sciences,Crossref; OpenAlex,,,,https://openalex.org/W4399931206,
10.1016/j.jics.2025.102053,,,2025,Jahanvi Saini,Exploring the quorum sensing inhibitors from potential bioactive compounds against Pseudomonas aeruginosa and Acinetobacter baumannii: An in-silico approach,Journal of the Indian Chemical Society,Crossref; OpenAlex,,,,https://openalex.org/W4413449814,
10.30574/ijsra.2021.3.2.0112,,,2021,Elkheloui Raja,Acinetobacter baumannii Quorum sensing: A way to communicate and a target to eradicate,International Journal of Science and Research Archive,Crossref; OpenAlex,,,,https://openalex.org/W3206497816,
10.1016/j.indcrop.2015.10.055,,,2015,Ângelo Luís,"Chemical composition, antioxidant, antibacterial and anti-quorum sensing activities of Eucalyptus globulus and Eucalyptus radiata essential oils",Industrial Crops and Products,OpenAlex,,,,https://openalex.org/W2175526208,
10.1002/ffj.3498,,,2019,Ângelo Luís,Star anise (<i>Illicium verum</i> Hook. f.) essential oil: Antioxidant properties and antibacterial activity against <i>Acinetobacter baumannii</i>,Flavour and Fragrance Journal,OpenAlex,,,,https://openalex.org/W2940873200,
10.1016/j.microb.2024.100108,,,2024,Shivali Sharma,"Quorum sensing in Gram-negative pathogens, a fresh look",The Microbe,OpenAlex,,,,https://openalex.org/W4400076718,
10.4103/jcrsm.jcrsm_66_17,,,2017,Anandhalakshmi Subramaniyan,Biofilm formation as a virulence factor of Acinetobacter baumannii: An emerging pathogen in critical care units,Journal of Current Research in Scientific Medicine,Crossref; OpenAlex,,,,https://openalex.org/W2805753967,
10.1186/s43094-023-00525-w,,,2023,Eman Mohamed,Acinetobacter baumannii biofilm and its potential therapeutic targets,Future Journal of Pharmaceutical Sciences,Crossref; OpenAlex,,,,https://openalex.org/W4386931218,
10.4274/mjima.galenos.2020.2020.7,,,2020,R. ELKHELOUI,"Acinetobacter baumannii Biofilm: Intervening Factors, Persistence, Drug Resistance and Strategies of Treatment",Mediterranean Journal of Infection Microbes and Antimicrobials,Crossref; OpenAlex,,,,https://openalex.org/W3043634464,
10.21608/zjps.2018.48351,,,2018,Hemat Abd,Detection of quorum sensing activity among biofilm forming Acinetobacter baumannii isolates,Zagazig Journal of Pharmaceutical Sciences/Zagazig Journal of Pharmaceutical Science,Crossref; OpenAlex,,,,https://openalex.org/W4231708361,
10.21608/mid.2025.432670.3334,,,2025,Debasmita Dash,Interruption of AbaI/AbaR quorum sensing signals: A potential approach against multidrug-resistant Acinetobacter baumannii,Microbes and Infectious Diseases /Microbes and Infectious Diseases,Crossref; OpenAlex,,,,https://openalex.org/W4417236514,
10.36295/asro.2019.220914,,,2019,Anfal Mohammed Khudhair,Distribution of quorum sensing genes and typing of clinical Acinetobacter baumannii isolates by ERIC-PCR,Annals of Tropical Medicine and Public Health,Crossref; OpenAlex,,,,https://openalex.org/W3000321678,
,,,2015,Farzan Modaresi,Molecular genetics characterization of quorum sensing system & efflux pump in clinical isolates of acinetobacter baumannii,,OpenAlex,,,,https://openalex.org/W2562757309,
10.1007/s13762-018-1930-5,,,2018,Jaskiran Kaur,Screening of quorum quenching activity of the bacteria isolated from dairy industry waste activated sludge,International Journal of Environmental Science and Technology,OpenAlex,,,,https://openalex.org/W2887471811,
10.1016/j.jksus.2021.101588,,,2021,Abdullah A. Alyousef,"Myrtus communis and its bioactive phytoconstituent, linalool, interferes with Quorum sensing regulated virulence functions and biofilm of uropathogenic bacteria: In vitro and in silico insights",Journal of King Saud University - Science,OpenAlex,,,,https://openalex.org/W3197794093,
10.1016/j.hsr.2024.100155,,,2024,Christiana Eleojo Aruwa,ESKAPE pathogens and associated quorum sensing systems: New targets for novel antimicrobials development,Health Sciences Review,OpenAlex,,,,https://openalex.org/W4392661343,
10.31838/ijpr/2020.sp1.304,,,2020,,Expression of Quorum Sensing signal abaI gene in Acinetobacter baumannii isolates from clinical and environmental samples in Baghdad hospitals,International Journal of Pharmaceutical Research,Crossref; OpenAlex,,,,https://openalex.org/W4237327489,
10.7860/jcdr/2025/75973.21999,,,2025,Nithila Kadirvel,Prevalence of Quorum Sensing Regulator/ Autoinducer Synthase (abaR/abaL) genes among the Multi-drug resistant strains of Acinetobacter baumannii: A Cross-sectional Study,JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH,Crossref; OpenAlex,,,,https://openalex.org/W4415060326,
10.1097/mrm.0000000000000003,,,2014,Lakshmana K. Gowda,Role of quorum-sensing molecules in infections caused by Gram-negative bacteria and host cell response,Reviews in Medical Microbiology,OpenAlex,,,,https://openalex.org/W2320120578,
10.1111/1758-2229.12224,,,2015,Beate Averhoff,<scp> <i>A</i> </scp> <i>cinetobacter baumanni</i> – understanding and fighting a new emerging pathogen,Environmental Microbiology Reports,OpenAlex,,,,https://openalex.org/W2149281295,
,,,2011,Gülşah Aşık,[Current approaches to explain the virulence of Acinetobacter baumannii].,PubMed,OpenAlex,,,,https://openalex.org/W2220195181,
,,,2019,Tadeusz Płusa,[The importance of biofilm in the context of increasing bacterial resistance to antibiotics].,PubMed,OpenAlex,,,,https://openalex.org/W3002142345,
10.1111/joim.12242,,,2014,Ute Römling,Microbial biofilm formation: a need to act,Journal of Internal Medicine,OpenAlex,,,,https://openalex.org/W2089854781,
10.21608/aps.2023.212124.1125,,,2023,Riham EL- Hakeem,"Acinetobacter baumannii Virulence Factors, Resistance Mechanisms, and New Insights on Infection Treatment",Archives of Pharmaceutical Sciences Ain Shams University,OpenAlex,,,,https://openalex.org/W4385465062,
10.3390/app122211615,,,2022,Oana Săndulescu,"Novel Antimicrobials, Drug Delivery Systems and Antivirulence Targets in the Pipeline—From Bench to Bedside",Applied Sciences,OpenAlex,,,,https://openalex.org/W4309314192,
10.1016/j.medmic.2024.100110,,,2024,Ujjayni Saha,Epsilon-poly-l-lysine inhibits biofilm formation and aids dispersion in Acinetobacter baumannii,Medicine in Microecology,OpenAlex,,,,https://openalex.org/W4401015406,
